Collectivite,type,population,score_sub,score_marches_pub,annee_score
DEPARTEMENT DE MAINE ET LOIRE,DEP,840567.0,E,E,2024
BORDEAUX METROPOLE,MET,830284.0,E,E,2024
TOULOUSE METROPOLE,MET,816362.0,E,C,2024
DEPARTEMENT DU MORBIHAN,DEP,785666.0,E,C,2024
DEPARTEMENT DE LA LOIRE,DEP,782608.0,E,C,2024
DEPARTEMENT DU GARD,DEP,765051.0,E,E,2024
DEPARTEMENT DE MEURTHE ET MOSELLE,DEP,744205.0,E,E,2024
GRAND-ORLY SEINE BIEVRE,MET,722136.0,E,C,2024
DEPARTEMENT DE VENDEE,DEP,711865.0,E,E,2024
DEPARTEMENT DU CALVADOS,DEP,711381.0,E,E,2024
DEPARTEMENT DES PYRENEES ATLANTIQUES,DEP,706060.0,E,C,2024
DEPARTEMENT DU LOIRET,DEP,696792.0,E,E,2024
METROPOLE NANTES METROPOLE,MET,684371.0,E,E,2024
DEPARTEMENT DU PUY DE DOME,DEP,676340.0,E,C,2024
DEPARTEMENT DE L AIN,DEP,673801.0,E,C,2024
DEPARTEMENT DE LA CHARENTE-MARITIME,DEP,671563.0,E,C,2024
DEPARTEMENT DE L'INDRE ET LOIRE,DEP,624315.0,E,C,2024
DEPARTEMENT DES COTES D'ARMOR,DEP,621729.0,E,C,2024
DEPARTEMENT DE L EURE,DEP,612766.0,E,C,2024
DEPARTEMENT DE LA SARTHE,DEP,580107.0,E,A,2024
DEPARTEMENT DE LA SOMME,DEP,578691.0,E,E,2024
DEPARTEMENT DE LA MARNE,DEP,578058.0,E,C,2024
DEPARTEMENT DU VAUCLUSE,DEP,572909.0,E,C,2024
PARIS OUEST LA DEFENSE,MET,568209.0,E,E,2024
DEPARTEMENT DE SAONE ET LOIRE,DEP,566292.0,E,E,2024
DEPARTEMENT DU DOUBS,DEP,558880.0,E,A,2024
METROPOLE NICE COTE D AZUR,MET,558768.0,E,A,2024
DEPARTEMENT DE COTE D OR,DEP,546936.0,E,C,2024
DEPARTEMENT DE L AISNE,DEP,541176.0,E,C,2024
DEPARTEMENT DE LA DROME,DEP,530784.0,E,C,2024
COMMUNE DE LYON,COM,528633.0,E,A,2024
EUROMETROPOLE DE STRASBOURG,MET,517033.0,E,E,2024
#PARISESTMARNE&BOIS,MET,514520.0,E,E,2024
DEPARTEMENT DE LA MANCHE,DEP,510506.0,E,E,2024
MONTPELLIER MEDITERRANEE METROPOLE,MET,505973.0,E,C,2024
METROPOLE ROUEN NORMANDIE,MET,503772.0,E,E,2024
COMMUNE DE TOULOUSE,COM,503020.0,E,C,2024
DEPARTEMENT DES PYRENEES-ORIENTALES,DEP,490614.0,E,A,2024
DEPARTEMENT DU RHONE,DEP,476878.0,E,E,2024
RENNES METROPOLE,MET,471952.0,E,E,2024
METROPOLE GRENOBLE-ALPES-METROPOLE (METRO),MET,454541.0,E,E,2024
BOUCLE NORD DE SEINE,MET,452807.0,E,C,2024
DEPARTEMENT DE LA SAVOIE,DEP,452308.0,E,C,2024
METROPOLE TOULON-PROVENCE-MEDITERRANEE,MET,450441.0,E,A,2024
PLAINE COMMUNE,MET,449610.0,E,C,2024
DEPARTEMENT DE LA VIENNE,DEP,449545.0,E,E,2024
DEPARTEMENT DE L'EURE ET LOIR,DEP,441538.0,E,E,2024
EST ENSEMBLE,MET,437145.0,E,E,2024
DEPARTEMENT DES LANDES,DEP,430346.0,E,C,2024
GRAND PARIS SEINE ET OISE,MET,428955.0,E,C,2024
DEPARTEMENT DE LA DORDOGNE,DEP,423298.0,E,E,2024
SAINT-ETIENNE METROPOLE,MET,411815.0,E,E,2024
VALLEE SUD-GRAND PARIS,MET,407643.0,E,E,2024
GRAND PARIS GRAND EST,MET,404964.0,E,C,2024
DEPARTEMENT DU TARN,DEP,401496.0,E,A,2024
CONSEIL REGIONAL DE LA GUADELOUPE,REG,388727.0,E,C,2024
DEPARTEMENT DE LA GUADELOUPE,DEP,388727.0,E,C,2024
DEPARTEMENT DES DEUX SEVRES,DEP,384677.0,E,E,2024
DEPARTEMENT DE L AUDE,DEP,383935.0,E,C,2024
DEPARTEMENT DE LA HAUTE VIENNE,DEP,378758.0,E,A,2024
DEPARTEMENT DES VOSGES,DEP,373380.0,E,C,2024
PARIS TERRES D'ENVOL,MET,370344.0,E,C,2024
COLLECTIVITE TERRITORIALE DE MARTINIQUE,REG,365734.0,E,A,2024
DEPARTEMENT DE LA CHARENTE,DEP,360686.0,E,A,2024
COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE,MET,359757.0,E,C,2024
CA GRAND PARIS SUD SEINE ESSONNE SENART,MET,357784.0,E,A,2024
COLLECTIVITE DE CORSE,REG,348760.0,E,C,2024
COMMUNE DE NICE,COM,346376.0,E,C,2024
DEPARTEMENT DE L ALLIER,DEP,344455.0,E,C,2024
CA SAINT GERMAIN BOUCLES DE SEINE,MET,342637.0,E,C,2024
DEPARTEMENT DE L'YONNE,DEP,342535.0,E,E,2024
DEPARTEMENT DU LOT ET GARONNE,DEP,339007.0,E,A,2024
DEPARTEMENT DE L ARDECHE,DEP,338147.0,E,C,2024
DEPARTEMENT DU LOIR ET CHER,DEP,337766.0,E,E,2024
CA DU PAYS BASQUE,MET,327298.0,E,C,2024
COMMUNE DE NANTES,COM,325857.0,E,E,2024
GRAND PARIS SUD EST AVENIR,MET,323613.0,E,E,2024
GRAND PARIS SEINE OUEST,MET,322764.0,E,E,2024
CA COMMUNAUTE PARIS-SACLAY,MET,318505.0,E,C,2024
DEPARTEMENT DE L AUBE,DEP,318352.0,E,E,2024
DEPARTEMENT DE LA MAYENNE,DEP,315997.0,E,A,2024
COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,MET,310503.0,E,C,2024
DEPARTEMENT DU CHER,DEP,307916.0,E,E,2024
TOURS METROPOLE VAL DE LOIRE,MET,303762.0,E,C,2024
COMMUNE DE MONTPELLIER,COM,302425.0,E,C,2024
COMMUNAUTE URBAINE DU GRAND REIMS,MET,301751.0,E,C,2024
CLERMONT AUVERGNE METROPOLE,MET,301654.0,E,E,2024
ORLEANS METROPOLE,MET,296062.0,E,A,2024
COMMUNE DE STRASBOURG,COM,293538.0,E,E,2024
DEPARTEMENT DE L AVEYRON,DEP,289842.0,E,E,2024
COLLECTIVITE TERRITORIALE DE GUYANE,REG,287355.0,E,C,2024
CA VAL PARISIS,MET,286517.0,E,C,2024
DEPARTEMENT DE L'ORNE,DEP,286279.0,E,E,2024
"CA DE BETHUNE-BRUAY, ARTOIS-LYS ROMANE",MET,279142.0,E,E,2024
CA MULHOUSE ALSACE AGGLOMERATION,MET,277738.0,E,E,2024
CU CAEN LA MER,MET,277042.0,E,C,2024
DEPARTEMENT DES ARDENNES,DEP,275801.0,E,E,2024
PERPIGNAN MEDITERRANEE METROPOLE COMMUNAUTE URBAINE,MET,274473.0,E,C,2024
COMMUNAUTE AGGLOMERATION VERSAILLES GRAND PARC,MET,272892.0,E,E,2024
LE HAVRE SEINE METROPOLE,MET,268985.0,E,E,2024
DEPARTEMENT DU TARN ET GARONNE,DEP,268105.0,E,A,2024
DEPARTEMENT DU JURA,DEP,267920.0,E,C,2024
COMMUNE DE BORDEAUX,COM,263247.0,E,E,2024
DEPARTEMENT DE MAYOTTE,DEP,262895.0,E,C,2024
DIJON METROPOLE,MET,261901.0,E,E,2024
COMMUNAUTE AGGLO NIMES METROPOLE,MET,261728.0,E,A,2024
METROPOLE DU GRAND NANCY,MET,261167.0,E,E,2024
DEPARTEMENT DE LA CORREZE,DEP,246927.0,E,A,2024
COMMUNAUTE D'AGGLOMERATION DE LENS-LIEVIN,MET,244150.0,E,E,2024
DEPARTEMENT DE HAUTE SAONE,DEP,240771.0,E,E,2024
COMMUNE DE LILLE,COM,238104.0,E,E,2024
DEPARTEMENT DES HAUTES PYRENEES,DEP,235759.0,E,A,2024
DEPARTEMENT DE LA HAUTE LOIRE,DEP,234272.0,E,E,2024
METZ METROPOLE,MET,231911.0,E,A,2024
SAINT QUENTIN EN YVELINES,MET,231516.0,E,C,2024
CA VALENCE ROMANS AGGLO,MET,228574.0,E,E,2024
PARIS - VALLEE DE LA MARNE,MET,228286.0,E,E,2024
COMMUNE DE RENNES,COM,226654.0,E,E,2024
DEPARTEMENT DE L'INDRE,DEP,224356.0,E,E,2024
COMMUNAUTE D'AGGLO DE CERGY-PONTOISE,MET,215767.0,E,E,2024
BREST METROPOLE,MET,215366.0,E,C,2024
GRAND ANNECY,MET,215286.0,E,C,2024
COMMUNAUTE AGGLO TERRITOIRE COTE OUEST,MET,214494.0,E,C,2024
LE MANS METROPOLE COMMUNAUTE URBAINE,MET,213834.0,E,E,2024
COMMUNAUTE INTERCOMMUNALE NORD REUNION,MET,213560.0,E,C,2024
LORIENT AGGLOMERATION,MET,211053.0,E,E,2024
CU LIMOGES METROPOLE,MET,210526.0,E,A,2024
DEPARTEMENT DE LA NIEVRE,DEP,207910.0,E,E,2024
CA COEUR D'ESSONNE AGGLOMERATION,MET,206367.0,E,E,2024
CU GRAND BESANCON METROPOLE,MET,201237.0,E,C,2024
GRAND POITIERS COMMUNAUTE URBAINE,MET,201043.0,E,E,2024
DEPARTEMENT DU GERS,DEP,198462.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION DU GRAND AVIGNON,MET,197725.0,E,C,2024
COMMUNAUTE URBAINE DE DUNKERQUE,MET,195371.0,E,C,2024
COMMUNAUTE AGGLO VALENCIENNES METROPOLE,MET,193620.0,E,E,2024
DEPARTEMENT DE LA MEUSE,DEP,188217.0,E,C,2024
COMMUNAUTE AGGLO AMIENS METROPOLE,MET,185306.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION PLAINE VALLEE,MET,185162.0,E,C,2024
COMMUNAUTE D AGGLOMERATION DE SOPHIA ANTIPOLIS,MET,184016.0,E,A,2024
COMMUNE DE REIMS,COM,183287.0,E,C,2024
COMMUNAUTE INTERCOMMUNALE DES VILLES SOLIDAIRES,MET,182859.0,E,A,2024
CA DU COTENTIN,MET,182798.0,E,C,2024
COMMUNE DE TOULON,COM,181506.0,E,E,2024
DEPARTEMENT DU LOT,DEP,180159.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION LA ROCHELLE,MET,179804.0,E,C,2024
CA VAL D'YERRES VAL DE SEINE,MET,179175.0,E,E,2024
CA GOLFE DU MORBIHAN - VANNES AGGLOMERATION,MET,178424.0,E,E,2024
CA TROYES CHAMPAGNE METROPOLE,MET,178422.0,E,C,2024
DEPARTEMENT DE LA HAUTE-MARNE,DEP,176692.0,E,E,2024
COMMUNE DE SAINT ETIENNE,COM,176016.0,E,E,2024
DEPARTEMENT DES ALPES DE HAUTE PROVENCE,DEP,170060.0,E,A,2024
COMMUNE DE LE HAVRE,COM,167658.0,E,E,2024
CA PAU BEARN PYRENEES,MET,166337.0,E,E,2024
COMMUNE DE DIJON,COM,162454.0,E,E,2024
COMMUNE DE GRENOBLE,COM,160483.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION CANNES PAYS DE LERINS,MET,159753.0,E,A,2024
COMMUNE D'ANGERS,COM,159103.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DE LA PORTE DU HAINAUT,MET,159000.0,E,E,2024
DEPARTEMENT DE L ARIEGE,DEP,157899.0,E,C,2024
CA SAINT-BRIEUC ARMOR AGGLOMERATION,MET,157312.0,E,E,2024
COMMUNE DE VILLEURBANNE,COM,155858.0,E,E,2024
COMMUNE DE SAINT DENIS,COM,154459.0,E,C,2024
CA DU CENTRE LITTORAL,MET,153022.0,E,C,2024
COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE,MET,152276.0,E,C,2024
DOUAISIS AGGLO,MET,150795.0,E,E,2024
COMMUNE D AIX EN PROVENCE,COM,150358.0,E,A,2024
COMMUNE DE CLERMONT FERRAND,COM,149898.0,E,E,2024
COMMUNE DE NIMES,COM,149761.0,E,A,2024
DEPARTEMENT DU CANTAL,DEP,149293.0,E,C,2024
COMMUNE DU MANS,COM,147983.0,E,E,2024
GRAND ANGOULEME,MET,146503.0,E,E,2024
DEPARTEMENT DES HAUTES ALPES,DEP,144981.0,E,C,2024
DEPARTEMENT DU TERRITOIRE DE BELFORT,DEP,143160.0,E,E,2024
GRAND CHAMBERY,MET,142655.0,E,A,2024
CA PAYS DE MONTBELIARD AGGLOMERATION,MET,142322.0,E,E,2024
COMMUNE DE BREST,COM,142110.0,E,E,2024
COMMUNE DE TOURS,COM,140474.0,E,E,2024
COMMUNAUTE D AGGLOMERATION CHARTRES METROPOLE,MET,140347.0,E,E,2024
CA DU BASSIN DE BOURG-EN-BRESSE,MET,137751.0,E,E,2024
COMMUNE D'AMIENS,COM,136808.0,E,E,2024
COMMUNAUTE D AGGLOMERATION  MELUN VAL DE SEINE,MET,136096.0,E,A,2024
CA ALES AGGLOMERATION,MET,135336.0,E,A,2024
COMMUNE D'ANNECY,COM,134942.0,E,C,2024
LE GRAND NARBONNE COMMUNAUTE D AGGLOMERATION,MET,134128.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DU SUD,MET,132984.0,E,E,2024
COMMUNE DE LIMOGES,COM,132768.0,E,A,2024
COMMUNAUTE D'AGGLO DE LA REGION NAZAIRIENNE ET DE L'ESTUAIRE,MET,131625.0,E,C,2024
COMMUNAUTE D AGGLOMERATION BEZIERS MEDITERRANEE,MET,129861.0,E,E,2024
CA SETE AGGLOPOLE MEDITERRANEE,MET,129577.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION TARBES-LOURDES-PYRENEES,MET,128774.0,E,C,2024
COMMUNAUTE INTERCOMMUNALE REUNION EST,MET,128738.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION D'HENIN-CARVIN,MET,127822.0,E,E,2024
LE MURETAIN AGGLO,MET,127063.0,E,C,2024
CA MAUBEUGE VAL DE SAMBRE,MET,126114.0,E,E,2024
CA DU NIORTAIS,MET,125225.0,E,C,2024
ARDENNE METROPOLE,MET,124030.0,E,C,2024
MAUGES COMMUNAUTE,MET,123446.0,E,A,2024
COMMUNE DE BOULOGNE-BILLANCOURT,COM,122162.0,E,E,2024
COMMUNE DE METZ,COM,122036.0,E,A,2024
COMMUNE DE BESANCON,COM,121519.0,E,A,2024
DEPARTEMENT DE LA CREUSE,DEP,119454.0,E,C,2024
COMMUNE DE PERPIGNAN,COM,119447.0,E,A,2024
COMMUNE D'ORLEANS,COM,119380.0,E,A,2024
LAVAL AGGLOMERATION,MET,118811.0,E,C,2024
ESTEREL COTE D'AZUR AGGLOMERATION,MET,118630.0,E,C,2024
CA LE GRAND CHALON,MET,117990.0,E,E,2024
CA AGGLO DU PAYS DE DREUX,MET,117182.0,E,A,2024
CARCASSONNE AGGLO,MET,116699.0,E,E,2024
COLMAR AGGLOMERATION,MET,116285.0,E,A,2024
COMMUNAUTE AGGLOMERATION ESPACE SUD,MET,116100.0,E,C,2024
COMMUNE DE ROUEN,COM,115792.0,E,E,2024
LOIRE FOREZ AGGLOMERATION LFA,MET,114029.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DU BOULONNAIS,MET,113638.0,E,E,2024
CA D'EPINAL,MET,113607.0,E,E,2024
CA EVREUX PORTES DE NORMANDIE,MET,113258.0,E,C,2024
COMMUNE DE MONTREUIL,COM,111954.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION PORTE DE L'ISERE,MET,111727.0,E,E,2024
COMMUNAUTE URBAINE D'ARRAS,MET,111567.0,E,C,2024
DRACENIE PROVENCE VERDON AGGLOMERATION,MET,111414.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION DU BASSIN DE BRIVE,MET,110045.0,E,E,2024
COMMUNE DE CAEN,COM,109401.0,E,C,2024
COMMUNAUTE D AGGLO MARNE ET GONDOIRE,MET,109322.0,E,E,2024
COMMUNE DE MULHOUSE,COM,109285.0,E,E,2024
CA DU PAYS DE MEAUX,MET,109256.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION DE BLOIS AGGLOPOLYS,MET,109150.0,E,C,2024
COMMUNE D ARGENTEUIL,COM,109058.0,E,C,2024
CA CHOLET AGGLOMERATION,MET,107964.0,E,C,2024
CA DU PAYS DE SAINT-OMER,MET,107764.0,E,C,2024
CA LE GRAND PERIGUEUX,MET,106973.0,E,C,2024
CA DU BEAUVAISIS,MET,106460.0,E,C,2024
COMMUNE DE NANCY,COM,105885.0,E,E,2024
CA DINAN AGGLOMERATION,MET,105700.0,E,C,2024
COMMUNE DE SAINT PAUL,COM,105597.0,E,C,2024
COMMUNAUTE AGGLOMERATION BOURGES PLUS,MET,105487.0,E,C,2024
COMMUNAUTE DE COMMUNES LE GRESIVAUDAN,MET,105483.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION SEINE EURE,MET,105168.0,E,C,2024
CA QUIMPER BRETAGNE OCCIDENTALE,MET,104622.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION COEUR DE FLANDRE,MET,104462.0,E,C,2024
CA LANNION-TREGOR COMMUNAUTE,MET,103976.0,E,E,2024
GRAND BELFORT COMMUNAUTE D'AGGLOMERATION,MET,103651.0,E,E,2024
AGGLOMERATION D'AGEN,MET,103534.0,E,C,2024
ROANNAIS AGGLOMERATION,MET,103388.0,E,C,2024
CA DE LA PROVENCE VERTE,MET,103124.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DU PAYS DE GEX,MET,102624.0,E,C,2024
LA ROCHE-SUR-YON AGGLOMERATION,MET,102305.0,E,C,2024
CA DU PAYS DE GRASSE,MET,102216.0,E,C,2024
CA SAUMUR VAL DE LOIRE,MET,100943.0,E,A,2024
CA GRAND CALAIS TERRES ET MERS,MET,100257.0,E,E,2024
COMMUNE DE TOURCOING,COM,99826.0,E,A,2024
CA DE HAGUENAU,MET,99299.0,E,A,2024
CC PEVELE-CAREMBAULT,MET,99238.0,E,A,2024
COMMUNAUTE D'AGGLOMERATION CAP EXCELLENCE,MET,98798.0,E,C,2024
COMMUNE DE ROUBAIX,COM,98480.0,E,E,2024
CA DU PAYS NORD MARTINIQUE,MET,97358.0,E,C,2024
CA DU PAYS VOIRONNAIS,MET,97124.0,E,E,2024
COMMMUNAUTE DE COMMUNES DE L OUEST GUYANAIS,MET,96959.0,E,C,2024
COMMUNE DE NANTERRE,COM,96402.0,E,E,2024
COMMUNE DE VITRY SUR SEINE,COM,96138.0,E,E,2024
CA COULOMMIERS PAYS DE BRIE,MET,95096.0,E,A,2024
THONON AGGLOMERATION,MET,94476.0,E,C,2024
CA VIENNE CONDRIEU,MET,93782.0,E,C,2024
CA DU LIBOURNAIS,MET,93653.0,E,A,2024
ANNEMASSE-LES VOIRONS-AGGLOMERATION,MET,93635.0,E,C,2024
CU LE CREUSOT MONTCEAU-LES-MINES,MET,93126.0,E,E,2024
COMMUNE DE CRETEIL,COM,92984.0,E,E,2024
COMMUNE DE POITIERS,COM,92296.0,E,E,2024
COMMUNE D AVIGNON,COM,92277.0,E,C,2024
AURAY QUIBERON TERRE ATLANTIQUE,MET,91650.0,E,C,2024
COMMUNAUTE D AGGLOMERATION DU PAYS AJACCIEN,MET,91134.0,E,E,2024
CA MONT-SAINT-MICHEL-NORMANDIE,MET,90523.0,E,A,2024
CA AGGLOMERATION CREIL SUD OISE,MET,89718.0,E,C,2024
COMMUNE D'AUBERVILLIERS,COM,89559.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DE DEMBENI/MAMOUDZOU,MET,89090.0,E,C,2024
COMMUNE D ASNIERES SUR SEINE,COM,88672.0,E,C,2024
COMMUNE DE DUNKERQUE,COM,87805.0,E,C,2024
CA DU PAYS DE SAINT MALO AGGLOMERATION,MET,87655.0,E,C,2024
COMMUNE DE COLOMBES,COM,87328.0,E,C,2024
COMMUNE D'AULNAY SOUS BOIS,COM,86873.0,E,E,2024
AGGLOMERATION ROYAN ATLANTIQUE,MET,86162.0,E,A,2024
CA VICHY COMMUNAUTE,MET,85516.0,E,C,2024
CA GRAND CHATELLERAULT,MET,85474.0,E,A,2024
COMMUNE DE VERSAILLES,COM,85474.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DU PUY-EN-VELAY,MET,85189.0,E,A,2024
CA AGGLOMERATION DE LA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,MET,85078.0,E,E,2024
COMMUNAUTE D'AGGLO DE L'ALBIGEOIS C2A,MET,85016.0,E,E,2024
COMMUNAUTE  D AGGLOMERATION ARLES CRAU CAMARGUE MONTAGNETTE,MET,84893.0,E,E,2024
COMMUNE DE SAINT PIERRE,COM,84822.0,E,C,2024
CA SEINE NORMANDIE AGGLOMERATION,MET,84671.0,E,C,2024
CA SAINT LOUIS AGGLOMERATION,MET,84384.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION VITRE COMMUNAUTE,MET,84349.0,E,E,2024
COMMUNAUTE AGGLO PORTES DE FRANCE,MET,83413.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION DU SICOVAL,MET,83317.0,E,E,2024
COMMUNE DE COURBEVOIE,COM,82701.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DE CAMBRAI,MET,82019.0,E,C,2024
COMMUNE DU TAMPON,COM,81728.0,E,C,2024
COMMUNAUTE D AGGLOMERATION HERAULT MEDITERRANEE,MET,81617.0,E,E,2024
CTE DE COMMUNES DE LA PLAINE DE L'AIN,MET,81569.0,E,C,2024
CA DU SAINT-QUENTINOIS,MET,81450.0,E,E,2024
CA DE CHALONS-EN-CHAMPAGNE,MET,81427.0,E,E,2024
CA MACONNAIS BEAUJOLAIS AGGLOMERATION,MET,81080.0,E,A,2024
COMMUNAUTE D'AGGLOMERATION DE CASTRES-MAZAMET,MET,81005.0,E,E,2024
GRAND MONTAUBAN COMMUNAUTE D AGGLOMERATION,MET,80896.0,E,C,2024
RAMBOUILLET TERRITOIRES,MET,80794.0,E,E,2024
DEPARTEMENT DE LA LOZERE,DEP,80257.0,E,E,2024
COMMUNE DE CHERBOURG-EN-COTENTIN,COM,80082.0,E,C,2024
COMMUNE DE BEZIERS,COM,79873.0,E,C,2024
COMMUNE DE RUEIL MALMAISON,COM,79713.0,E,E,2024
CC LES BALCONS DU DAUPHINE,MET,79498.0,E,C,2024
"GRAND LAC, COMMUNAUTE D'AGGLOMERATION",MET,79460.0,E,C,2024
COMMUNE DE LA ROCHELLE,COM,79323.0,E,E,2024
CA SAINT-LO AGGLO,MET,79272.0,E,E,2024
CA CAUX SEINE AGGLO,MET,79243.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION DU NORD BASSE TERRE,MET,78849.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION GRAND SUD CARAIBE,MET,77966.0,E,C,2024
COMMUNE DE CHAMPIGNY SUR MARNE,COM,77751.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION DE LA PRESQU'ILE DE GUERANDE ATLANTIQUE,MET,77665.0,E,C,2024
COMMUNAUTE AGGLO FORBACH PORTE FRANCE,MET,77491.0,E,A,2024
COMMUNE DE PAU,COM,77061.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION DU GARD RHODANIEN,MET,76332.0,E,C,2024
COMMUNAUTE D'AGGLOMERATION DU BOCAGE BRESSUIRAIS,MET,76251.0,E,C,2024
COMMUNE DE FORT-DE-FRANCE,COM,76085.0,E,E,2024
CA GAILLAC-GRAULHET,MET,76012.0,E,E,2024
CA GUINGAMP-PAIMPOL AGGLOMERATION DE L'ARMOR A L'ARGOAT,MET,75886.0,E,C,2024
COMMUNE D'ANTIBES,COM,75779.0,E,A,2024
CA DE SAINT-DIE-DES-VOSGES,MET,75591.0,E,C,2024
COMMUNE DE SAINT MAUR DES FOSSES,COM,75449.0,E,E,2024
CHATEAUROUX METROPOLE,MET,75413.0,E,C,2024
COMMUNAUTE D AGGLOMERATION DE LA RIVIERA FRANCAISE,MET,75051.0,E,E,2024
CA LISIEUX NORMANDIE,MET,74821.0,E,A,2024
COMMUNE DE MERIGNAC,COM,74775.0,E,E,2024
COMMUNAUTE D'AGGLOMERATION VILLEFRANCHE BEAUJOLAIS SAONE,MET,74079.0,E,E,2024
COMMUNE DE SAINT-NAZAIRE,COM,73643.0,E,C,2024
COMMUNE D AJACCIO,COM,73483.0,E,E,2024
COMMUNE DE CANNES,COM,73159.0,E,A,2024
COMMUNE DE MAMOUDZOU,COM,72974.0,E,C,2024
